# LANG=zh_TW
吳王	ㄨˊ ㄨㄤˊ
吾師	ㄨˊ ㄕ
吾王	ㄨˊ ㄨㄤˊ
哭上	ㄎㄨ ㄕㄤˋ
哭哭	ㄎㄨ ㄎㄨ
哭墓	ㄎㄨ ㄇㄨˋ
哭鬧	ㄎㄨ ㄋㄠˋ
商務	ㄕㄤ ㄨˋ
商務艙	ㄕㄤ ㄨˋ ㄘㄤ
商客	ㄕㄤ ㄎㄜˋ
商數	ㄕㄤ ㄕㄨˋ
商王	ㄕㄤ ㄨㄤˊ
商社	ㄕㄤ ㄕㄜˋ
商科	ㄕㄤ ㄎㄜ
啞啞	ㄜˋ ㄜˋ
嗚嗚	ㄨ ㄨ
嗷嗷	ㄠˊ ㄠˊ
堊室	ㄜˋ ㄕˋ
塾師	ㄕㄨˊ ㄕ
墓室	ㄇㄨˋ ㄕˋ
墓木	ㄇㄨˋ ㄇㄨˋ
失事	ㄕ ㄕˋ
失勢	ㄕ ㄕˋ
失實	ㄕ ㄕˊ
失恃	ㄕ ㄕˋ
失時	ㄕ ㄕˊ
失望	ㄕ ㄨㄤˋ
失物	ㄕ ㄨˋ
失策	ㄕ ㄘㄜˋ
失誤	ㄕ ㄨˋ
奢望	ㄕㄜ ㄨㄤˋ
客商	ㄎㄜˋ ㄕㄤ
客室	ㄎㄜˋ ㄕˋ
客舍	ㄎㄜˋ ㄕㄜˋ
客艙	ㄎㄜˋ ㄘㄤ
實事	ㄕˊ ㄕˋ
實務	ㄕˊ ㄨˋ
實實	ㄕˊ ㄕˊ
實數	ㄕˊ ㄕㄨˋ
實施	ㄕˊ ㄕ
實是	ㄕˊ ㄕˋ
實況	ㄕˊ ㄎㄨㄤˋ
實測	ㄕˊ ㄘㄜˋ
實無	ㄕˊ ㄨˊ
實物	ㄕˊ ㄨˋ
實設	ㄕˊ ㄕㄜˋ
實詞	ㄕˊ ㄘˊ
射上	ㄕㄜˋ ㄕㄤˋ
射射	ㄕㄜˋ ㄕㄜˋ
少上	ㄕㄠˇ ㄕㄤˋ
少少	ㄕㄠˇ ㄕㄠˇ
少數	ㄕㄠˇ ㄕㄨˋ
少時	ㄕㄠˇ ㄕˊ
尚可	ㄕㄤˋ ㄎㄜˇ
尚書	ㄕㄤˋ ㄕㄨ
尚武	ㄕㄤˋ ㄨˇ
尚無	ㄕㄤˋ ㄨˊ
尚輸	ㄕㄤˋ ㄕㄨ
屋舍	ㄨ ㄕㄜˋ
屬實	ㄕㄨˇ ㄕˊ
巫士	ㄨ ㄕˋ
巫師	ㄨ ㄕ
巫師	ㄨˊ ㄕ
巫術	ㄨ ㄕㄨˋ
巫術	ㄨˊ ㄕㄨˋ
市上	ㄕˋ ㄕㄤˋ
市況	ㄕˋ ㄎㄨㄤˋ
市畝	ㄕˋ ㄇㄨˇ
師事	ㄕ ㄕˋ
師母	ㄕ ㄇㄨˇ
帽上	ㄇㄠˋ ㄕㄤˋ
帽舌	ㄇㄠˋ ㄕㄜˊ
幕客	ㄇㄨˋ ㄎㄜˋ
庫藏	ㄎㄨˋ ㄘㄤˊ
庶事	ㄕㄨˋ ㄕˋ
庶務	ㄕㄨˋ ㄨˋ
庶士	ㄕㄨˋ ㄕˋ
庶母	ㄕㄨˋ ㄇㄨˇ
康康	ㄎㄤ ㄎㄤ
康康舞	ㄎㄤ ㄎㄤ ㄨˇ
弒母	ㄕˋ ㄇㄨˇ
往上	ㄨㄤˇ ㄕㄤˋ
往世	ㄨㄤˇ ㄕˋ
往事	ㄨㄤˇ ㄕˋ
往往	ㄨㄤˇ ㄨㄤˇ
往往是	ㄨㄤˇ ㄨㄤˇ ㄕˋ
往時	ㄨㄤˇ ㄕˊ
徂暑	ㄘㄨˊ ㄕㄨˇ
徂逝	ㄘㄨˊ ㄕˋ
忘詞	ㄨㄤˋ ㄘˊ
忙忙	ㄇㄤˊ ㄇㄤˊ
怒目	ㄋㄨˋ ㄇㄨˋ
怒視	ㄋㄨˋ ㄕˋ
惡客	ㄜˋ ㄎㄜˋ
惡少	ㄜˋ ㄕㄠˋ
惡食	ㄨ ㄕˊ
惱怒	ㄋㄠˇ ㄋㄨˋ
愕視	ㄜˋ ㄕˋ
